lon,lat,age (Ma),Cu (Mt),source,label
149.02,-32.42,438.0,1.0494,Huston_2024,positive
149.01,-33.46,441.8,7.9655,Huston_2024,positive
148.99,-33.46,450.7,1.7895,Huston_2024,positive
147.39,-34.21,438.0,0.072,Huston_2024,positive
147.41,-34.24,438.0,0.0294,Huston_2024,positive
149.02,-32.41,438.0,0.426,Huston_2024,positive
147.39,-34.18,436.0,0.0884,Huston_2024,positive
148.0,-32.92,438.3,4.3,Huston_2024,positive
148.97,-33.44,455.8,0.9771,Huston_2024,positive
147.47,-34.33,438.0,0.1234,Huston_2024,positive
147.34,-34.05,438.0,0.4064,Huston_2024,positive
116.61,-30.97,2976.0,2.3361,Huston_2024,positive
116.35,-32.75,2707.0,0.969,Huston_2024,positive
148.8,-33.43,469.0,0.054,Huston_2024,positive
151.85,-25.64,231.5,0.1022,Huston_2024,positive
148.87,-33.05,449.1,0.3132,Huston_2024,positive
116.62,-31.03,2976.0,0.8369,Huston_2024,positive
147.42,-33.72,455.9,,Huston_2024,positive
147.48,-33.76,463.5,,Huston_2024,positive
147.54,-33.74,467.0,0.5657,Huston_2024,positive
127.49,-18.44,1843.0,0.228,Huston_2024,positive
116.67,-31.09,2976.0,0.0817,Huston_2024,positive
120.11,-20.89,3298.0,0.8018,Huston_2024,positive
150.87,-24.81,244.3,0.2839,Huston_2024,positive
148.64,-32.73,409.0,0.0486,Huston_2024,positive
147.28,-22.31,309.8,,Huston_2024,positive
149.71,-32.86,328.0,,Huston_2024,positive
147.98,-36.34,412.0,0.1679,Huston_2024,positive
-155.485,59.7779,90.0,,Magnin_2025,positive
-155.4219,59.7981,90.0,,Magnin_2025,positive
46.75,38.8833,19.62,,Magnin_2025,positive
55.3094,30.3035,8.48,,Magnin_2025,positive
55.3155,30.3106,7.5,,Magnin_2025,positive
55.2713,30.2232,8.48,,Magnin_2025,positive
-77.32139,8.48778,48.1,4.8125,Magnin_2025,positive
-120.31832,50.58531,204.0,,Magnin_2025,positive
-120.32672,50.58891,204.0,,Magnin_2025,positive
36.7189,38.2434,83.25,,Magnin_2025,positive
-120.51502,50.66111,204.0,1.02529,Magnin_2025,positive
30.3653,38.5239,11.63,,Magnin_2025,positive
46.1882,38.9219,44.2,0.7,Magnin_2025,positive
89.2,54.5833,388.0,0.09936,Magnin_2025,positive
125.568,9.172,12.81,,Magnin_2025,positive
59.063,32.665,39.52,,Magnin_2025,positive
26.9413,39.9181,26.9,,Magnin_2025,positive
-66.28,-27.37083,5.61,7.37606314,Magnin_2025,positive
-77.89667,-8.55972,12.5,0.7818160000000001,Magnin_2025,positive
96.2167,54.45,290.0,,Magnin_2025,positive
47.4716,38.3995,19.62,,Magnin_2025,positive
46.2077,38.9785,42.0,,Magnin_2025,positive
-143.9312,64.2287,105.8,,Magnin_2025,positive
132.854,-1.226,3.96,,Magnin_2025,positive
-120.40442,50.60811,198.5,1.30558,Magnin_2025,positive
-112.86528,32.35694,63.0,1.7480000000000002,Magnin_2025,positive
96.5834,53.436,517.3,4.8256,Magnin_2025,positive
-130.33532,57.7442,205.0,,Magnin_2025,positive
-120.51892,49.34251,195.0,0.1014999999999999,Magnin_2025,positive
50.937,36.395,6.8,,Magnin_2025,positive
26.7772,40.0171,28.3,,Magnin_2025,positive
-69.36667,-31.3,279.6,,Magnin_2025,positive
53.828,31.649,16.5,0.292,Magnin_2025,positive
-108.08806,37.40694,70.3,0.8,Magnin_2025,positive
148.17342,-32.54985,436.5,,Magnin_2025,positive
73.94613,48.67757,310.0,0.62502,Magnin_2025,positive
23.103,46.131,12.81,,Magnin_2025,positive
-78.18333,-8.16667,7.99,,Magnin_2025,positive
49.1667,36.25,28.59,,Magnin_2025,positive
46.9333,38.7,19.62,,Magnin_2025,positive
126.06667,7.35,17.79,0.33,Magnin_2025,positive
61.646,29.2265,19.5,,Magnin_2025,positive
105.0219,49.5083,290.0,,Magnin_2025,positive
120.65376,16.34966,0.51,,Magnin_2025,positive
140.2055,-32.7189,502.0,0.024,Magnin_2025,positive
47.2167,38.3333,19.62,,Magnin_2025,positive
-71.0925,-30.24667,112.0,2.02112,Magnin_2025,positive
46.9333,38.6833,30.8,,Magnin_2025,positive
119.1,32.0667,108.0,,Magnin_2025,positive
-131.54952,57.0594,48.5,,Magnin_2025,positive
-119.27,38.96,166.0,7.475650000000001,Magnin_2025,positive
46.3701,38.8205,19.62,,Magnin_2025,positive
-77.05,-9.53333,10.0,,Magnin_2025,positive
-71.34667,-14.96,36.0,4.09331,Magnin_2025,positive
-69.9167,-22.5333,141.7,3.89081,Magnin_2025,positive
120.556,44.7603,131.2,,Magnin_2025,positive
119.603,44.6331,148.3,,Magnin_2025,positive
-124.87942,55.32361,186.9,,Magnin_2025,positive
102.8833,48.75,290.0,,Magnin_2025,positive
113.85,49.0,290.0,,Magnin_2025,positive
41.9541,41.1335,50.4,0.11288,Magnin_2025,positive
42.0566,40.4099,83.25,,Magnin_2025,positive
58.623,35.858,39.52,,Magnin_2025,positive
-67.76667,-25.10556,15.46,0.0845639999999999,Magnin_2025,positive
27.57255,41.89177,80.94,,Magnin_2025,positive
-69.75,-30.5,11.7,,Magnin_2025,positive
-71.02,-43.27,83.25,,Magnin_2025,positive
105.9,49.8333,290.0,,Magnin_2025,positive
102.8,46.2667,290.0,,Magnin_2025,positive
24.13671,42.54438,91.5,0.6149,Magnin_2025,positive
46.4167,38.7083,19.62,,Magnin_2025,positive
-125.29172,55.91331,177.4,0.0635039999999999,Magnin_2025,positive
-121.28562,51.95781,219.15,0.011946,Magnin_2025,positive
-109.62139,28.52661,55.8,,Magnin_2025,positive
116.162,45.9488,290.0,,Magnin_2025,positive
40.927,41.0236,49.95,,Magnin_2025,positive
-120.52613,49.65223,204.0,0.27729,Magnin_2025,positive
122.7,9.43333,19.5,0.12,Magnin_2025,positive
126.117,7.05,12.81,,Magnin_2025,positive
41.1002,40.9531,82.8,,Magnin_2025,positive
46.2,38.99,42.62,0.088752,Magnin_2025,positive
123.12,9.9,24.94,,Magnin_2025,positive
103.3639,48.85,290.0,,Magnin_2025,positive
23.129,46.122,12.81,,Magnin_2025,positive
-126.00222,54.85361,51.0,,Magnin_2025,positive
118.825,49.8232,227.0,0.1914,Magnin_2025,positive
-113.21194,34.58583,71.8,7.32793,Magnin_2025,positive
-141.1,63.67,77.5,,Magnin_2025,positive
55.996,29.827,17.8,0.0648,Magnin_2025,positive
38.5817,39.439,51.9,,Magnin_2025,positive
57.4917,29.0583,25.43,,Magnin_2025,positive
-108.12125,27.01506,65.7,2.3824589,Magnin_2025,positive
142.53,-5.95,1.7,,Magnin_2025,positive
119.82667,42.41639,236.0,0.1360779,Magnin_2025,positive
112.502,42.2269,445.0,0.52,Magnin_2025,positive
58.275,34.53,76.6,,Magnin_2025,positive
-66.65,-27.26667,7.0,,Magnin_2025,positive
-66.60889,-27.32972,7.1,3.2670000000000003,Magnin_2025,positive
-67.30833,-48.075,200.0,,Magnin_2025,positive
-66.55,-27.4,7.1,,Magnin_2025,positive
-66.56667,-27.28333,7.9,0.64,Magnin_2025,positive
35.3959,40.9609,38.0,0.36,Magnin_2025,positive
121.149,17.38232,0.65,0.42,Magnin_2025,positive
85.53,31.74,88.9,0.0099981,Magnin_2025,positive
27.5602,38.2791,14.18,,Magnin_2025,positive
41.445,41.0204,62.3,0.319,Magnin_2025,positive
33.7312,39.8505,73.6,,Magnin_2025,positive
156.066,-6.869,3.96,,Magnin_2025,positive
46.6167,38.75,19.62,,Magnin_2025,positive
-79.15,-1.66667,20.7,,Magnin_2025,positive
117.38,30.854,154.25,,Magnin_2025,positive
55.998,29.889,30.86,,Magnin_2025,positive
91.96628,29.91493,15.6,,Magnin_2025,positive
146.75008,-20.13699,395.0,,Magnin_2025,positive
18.89865,48.47064,13.2,0.735,Magnin_2025,positive
97.41667,31.75,42.6,0.2101,Magnin_2025,positive
88.6333,41.38,275.0,,Magnin_2025,positive
146.78779,-20.10957,395.0,,Magnin_2025,positive
122.682,9.481,34.4,,Magnin_2025,positive
34.7963,39.7038,77.6,,Magnin_2025,positive
-109.36668,27.60762,57.5,,Magnin_2025,positive
61.79468,52.82222,301.0,1.089,Magnin_2025,positive
121.0666,17.35449,7.0,0.520531,Magnin_2025,positive
116.87,-8.96,3.7,4.033568229999999,Magnin_2025,positive
-141.21194,62.11056,111.0,0.28,Magnin_2025,positive
-127.51172,50.61081,174.0,,Magnin_2025,positive
-127.45582,50.59611,174.0,,Magnin_2025,positive
-127.52172,50.63111,174.0,,Magnin_2025,positive
103.6474,49.4361,290.0,,Magnin_2025,positive
101.7067,43.5873,290.0,,Magnin_2025,positive
106.2448,49.8003,290.0,,Magnin_2025,positive
100.6833,48.7708,290.0,,Magnin_2025,positive
104.8833,46.6833,222.0,,Magnin_2025,positive
47.3,36.8917,19.62,,Magnin_2025,positive
38.5638,39.4409,51.9,,Magnin_2025,positive
147.62138,-19.98549,265.0,,Magnin_2025,positive
-126.87447,56.10314,187.7,,Magnin_2025,positive
-126.88332,56.11361,53.0,,Magnin_2025,positive
-119.18,39.03,168.4,1.8144,Magnin_2025,positive
-112.07949,46.34032,44.95,0.24948,Magnin_2025,positive
160.33667,64.33667,122.75,,Magnin_2025,positive
-158.4,56.51667,3.7,0.01125,Magnin_2025,positive
81.4257,44.7436,301.0,,Magnin_2025,positive
100.2,26.15,36.87,0.65,Magnin_2025,positive
-80.76733,8.85245,28.47,0.0936829,Magnin_2025,positive
-126.23192,55.00281,51.0,1.43514,Magnin_2025,positive
-124.41672,51.30441,44.52,,Magnin_2025,positive
148.8679,-21.2656,122.75,0.06,Magnin_2025,positive
61.77,51.22,312.0,2.16417045,Magnin_2025,positive
-127.43502,53.80361,48.0,1.85421,Magnin_2025,positive
112.3333,47.15,290.0,,Magnin_2025,positive
113.417,-0.617,28.47,0.403081,Magnin_2025,positive
-120.98782,50.49811,209.0,3.0465000000000004,Magnin_2025,positive
-67.9,-26.3,14.0,,Magnin_2025,positive
56.5167,29.6167,8.48,,Magnin_2025,positive
-129.34863,55.66306,187.7,,Magnin_2025,positive
-120.59612,49.94331,219.15,,Magnin_2025,positive
-120.43672,50.66281,205.0,0.0231886,Magnin_2025,positive
-126.89612,54.80971,48.7,0.41078,Magnin_2025,positive
-112.15389,40.52917,37.0,4.03777,Magnin_2025,positive
137.23056,55.97083,78.25,,Magnin_2025,positive
136.61889,55.77361,78.25,,Magnin_2025,positive
61.03853,54.99609,347.0,0.0329,Magnin_2025,positive
-109.90139,31.43194,200.0,2.273696,Magnin_2025,positive
140.0665,53.318,78.25,,Magnin_2025,positive
-124.48892,51.22251,63.0,,Magnin_2025,positive
-141.48,63.62,71.5,,Magnin_2025,positive
148.99388,-32.45225,436.5,,Magnin_2025,positive
116.3667,-32.73333,2707.0,0.8968210000000001,Magnin_2025,positive
23.01,45.994,10.9,0.27,Magnin_2025,positive
125.48393,9.40937,12.81,,Magnin_2025,positive
83.5,32.8,119.4,3.8,Magnin_2025,positive
159.733,-9.4,25.0,,Magnin_2025,positive
-142.73333,62.21667,113.0,1.3608000000000002,Magnin_2025,positive
57.2167,29.3833,28.9,0.15,Magnin_2025,positive
120.81667,17.46667,10.49,0.6367499999999999,Magnin_2025,positive
41.4135,40.9591,79.76,,Magnin_2025,positive
126.63513,53.79095,122.9,,Magnin_2025,positive
74.70864,47.19712,315.9,0.5950000000000001,Magnin_2025,positive
-130.27722,56.4858,196.0,,Magnin_2025,positive
19.0143,47.91,15.2,,Magnin_2025,positive
148.84531,-33.33535,436.5,,Magnin_2025,positive
125.554,9.605,2.12,1.8,Magnin_2025,positive
22.03588,44.94499,65.0,,Magnin_2025,positive
-71.19569,-35.75889,12.0,,Magnin_2025,positive
22.96487,42.8417,83.25,,Magnin_2025,positive
148.05468,-32.93042,439.2,,Magnin_2025,positive
23.169,46.116,12.81,,Magnin_2025,positive
-120.00562,49.87781,193.9,0.27255,Magnin_2025,positive
-131.09442,56.6664,195.4,0.153,Magnin_2025,positive
23.127,46.242,14.9,1.675,Magnin_2025,positive
-111.09072,33.13665,57.5,,Magnin_2025,positive
-117.05173,40.61176,88.0,0.75226,Magnin_2025,positive
-120.43472,49.44471,193.0,,Magnin_2025,positive
-120.45722,49.42471,193.0,,Magnin_2025,positive
104.3,45.9167,290.0,,Magnin_2025,positive
121.426,44.9991,166.0,,Magnin_2025,positive
-69.92,-22.53,137.0,0.7884,Magnin_2025,positive
-117.24962,40.60524,44.95,,Magnin_2025,positive
99.7,49.1833,290.0,,Magnin_2025,positive
83.828,49.5493,290.0,,Magnin_2025,positive
62.0681,29.1614,11.0,,Magnin_2025,positive
105.8025,45.5296,285.93,,Magnin_2025,positive
121.77056,0.95194,8.75,0.08784,Magnin_2025,positive
102.8167,48.7,290.0,,Magnin_2025,positive
-70.66667,-36.86667,49.95,,Magnin_2025,positive
64.4712,29.4327,19.5,,Magnin_2025,positive
-120.93502,50.51061,206.3,,Magnin_2025,positive
27.53444,41.97417,80.5,,Magnin_2025,positive
118.55069,51.50102,157.2,0.2618899,Magnin_2025,positive
126.16667,7.55,10.0,,Magnin_2025,positive
27.1531,40.3798,53.0,,Magnin_2025,positive
8.365,40.53194,27.5,0.13041,Magnin_2025,positive
152.22869,-25.86836,242.5,,Magnin_2025,positive
-72.86667,7.31667,144.0,,Magnin_2025,positive
151.25447,-24.05443,220.0,,Magnin_2025,positive
122.05,12.3,4.39,,Magnin_2025,positive
22.29955,45.56864,72.2,,Magnin_2025,positive
-124.58502,55.08251,186.9,,Magnin_2025,positive
-70.58333,-38.25,61.0,0.361782,Magnin_2025,positive
-110.32212,30.95414,59.3,35.959615529999994,Magnin_2025,positive
-79.28333,-6.08333,16.8,5.1315610000000005,Magnin_2025,positive
-79.8175,-3.48277,23.51,0.711301,Magnin_2025,positive
121.992,14.75,34.4,,Magnin_2025,positive
-69.09467,-23.07463,41.3,5.1324000000000005,Magnin_2025,positive
149.24953,-33.35331,436.5,,Magnin_2025,positive
116.61413,-30.96603,2700.0,2.832,Magnin_2025,positive
8.49639,39.17056,30.0,,Magnin_2025,positive
-111.32306,43.09306,50.0,,Magnin_2025,positive
-141.58333,62.03333,111.0,0.024,Magnin_2025,positive
-69.16667,-30.0,268.5,,Magnin_2025,positive
-111.88054,32.89725,64.5,8.526,Magnin_2025,positive
-69.52465,-28.18678,39.52,4.32,Magnin_2025,positive
-137.62002,62.4292,76.4,0.061693,Magnin_2025,positive
-138.82812,62.7378,74.7,5.1222,Magnin_2025,positive
-69.34261,-27.69143,25.38,2.822407,Magnin_2025,positive
-72.79325,19.60608,66.0,0.0829599999999999,Magnin_2025,positive
-110.9634,33.41328,59.1,4.404120000000001,Magnin_2025,positive
-125.98082,49.25641,49.0,1.2261542399999998,Magnin_2025,positive
-70.21694,45.53611,444.0,0.10008,Magnin_2025,positive
-104.8833,31.41667,36.1,0.0104,Magnin_2025,positive
41.4578,40.749,83.25,,Magnin_2025,positive
-69.16833,-23.16333,45.4,13.609522,Magnin_2025,positive
147.46,-33.64,451.4,,Magnin_2025,positive
-69.28423,-27.79025,13.89,2.62275057,Magnin_2025,positive
-82.1023,8.6603,3.6,0.348194,Magnin_2025,positive
-107.33309,26.25472,46.3,,Magnin_2025,positive
-107.71058,27.11037,54.7,,Magnin_2025,positive
-78.60583,-6.76167,13.35,0.4183845,Magnin_2025,positive
-101.02757,21.07501,30.0,0.67089,Magnin_2025,positive
