lon,lat,age (Ma),Cu (Mt),source,label
130.97,-13.01,1632.0,0.1025,Huston_2024,positive
131.0,-13.0,1632.0,0.3385,Huston_2024,positive
131.02,-12.98,1627.0,,Huston_2024,positive
131.0,-12.99,1627.0,0.0156,Huston_2024,positive
140.53,-31.73,1592.0,1.5741,Huston_2024,positive
130.96,-13.2,1627.0,,Huston_2024,positive
122.31,-22.2,822.0,0.4863,Huston_2024,positive
130.95,-12.95,1627.0,0.0081,Huston_2024,positive
139.89,-19.77,1688.0,0.087,Huston_2024,positive
121.57,-21.66,822.0,1.4799,Huston_2024,positive
140.45,-31.43,1615.0,0.1014,Huston_2024,positive
131.0,-13.04,1627.0,,Huston_2024,positive
138.27,-17.78,1575.0,0.3022,Huston_2024,positive
131.01,-12.99,1627.0,0.019,Huston_2024,positive
69.3,34.27,570.0,7.0,Hoggard_2020,positive
14.09,-11.08,115.0,0.1,Hoggard_2020,positive
-64.42,-24.17,90.0,0.1,Hoggard_2020,positive
-68.98,-38.88,90.0,0.1,Hoggard_2020,positive
-69.82,-39.22,90.0,0.0,Hoggard_2020,positive
-69.18,-38.63,90.0,0.3,Hoggard_2020,positive
-68.97,-38.45,90.0,0.0,Hoggard_2020,positive
-65.15,-25.22,90.0,0.1,Hoggard_2020,positive
137.74,-17.19,1600.0,0.1,Hoggard_2020,positive
139.37,-19.7,1550.0,0.3,Hoggard_2020,positive
139.04,-19.77,1550.0,0.5,Hoggard_2020,positive
139.48,-20.74,1523.0,7.4,Hoggard_2020,positive
138.92,-34.35,650.0,0.1,Hoggard_2020,positive
137.25,-31.45,630.0,0.3,Hoggard_2020,positive
-68.2,-17.58,28.0,0.1,Hoggard_2020,positive
-68.45,-17.16,40.0,0.5,Hoggard_2020,positive
-68.15,-18.07,13.0,0.5,Hoggard_2020,positive
26.75,42.67,200.0,0.0,Hoggard_2020,positive
-64.48,45.93,300.0,0.1,Hoggard_2020,positive
-94.07,73.62,450.0,0.1,Hoggard_2020,positive
-68.23,-22.73,12.0,0.0,Hoggard_2020,positive
-68.45,-22.52,300.0,0.1,Hoggard_2020,positive
-70.23,-27.35,120.0,0.0,Hoggard_2020,positive
81.25,41.5,13.0,0.1,Hoggard_2020,positive
77.08,39.83,4.0,0.2,Hoggard_2020,positive
99.05,26.05,170.0,,Hoggard_2020,positive
103.25,25.42,70.0,0.9,Hoggard_2020,positive
14.37,51.58,260.0,1.5,Hoggard_2020,positive
9.9,50.98,260.0,0.4,Hoggard_2020,positive
8.89,51.47,260.0,0.1,Hoggard_2020,positive
11.47,51.6,260.0,2.6,Hoggard_2020,positive
34.95,29.77,530.0,0.3,Hoggard_2020,positive
35.42,30.6,560.0,0.8,Hoggard_2020,positive
67.39,48.12,320.0,22.0,Hoggard_2020,positive
67.43,48.28,320.0,0.8,Hoggard_2020,positive
67.33,48.27,300.0,0.9,Hoggard_2020,positive
67.72,48.34,300.0,0.5,Hoggard_2020,positive
68.33,48.63,270.0,0.0,Hoggard_2020,positive
67.4,48.28,320.0,0.8,Hoggard_2020,positive
67.3,47.87,320.0,2.9,Hoggard_2020,positive
-112.5,27.17,3.0,4.0,Hoggard_2020,positive
90.15,48.65,350.0,,Hoggard_2020,positive
91.68,49.13,350.0,,Hoggard_2020,positive
-6.0,30.33,510.0,0.1,Hoggard_2020,positive
-8.35,30.09,530.0,0.0,Hoggard_2020,positive
-75.85,-11.3,260.0,,Hoggard_2020,positive
17.62,52.18,260.0,40.0,Hoggard_2020,positive
17.62,51.65,260.0,74.0,Hoggard_2020,positive
16.9,51.48,260.0,28.0,Hoggard_2020,positive
13.72,51.25,260.0,0.7,Hoggard_2020,positive
15.82,51.11,260.0,0.1,Hoggard_2020,positive
16.13,51.4,260.0,82.8,Hoggard_2020,positive
15.58,51.18,260.0,0.7,Hoggard_2020,positive
14.97,51.88,260.0,3.2,Hoggard_2020,positive
15.09,51.64,270.0,3.2,Hoggard_2020,positive
87.55,66.52,600.0,,Hoggard_2020,positive
137.02,63.52,385.0,0.5,Hoggard_2020,positive
-108.95,38.3,170.0,0.1,Hoggard_2020,positive
-106.88,36.01,220.0,0.1,Hoggard_2020,positive
-99.35,34.65,270.0,0.0,Hoggard_2020,positive
-99.5,34.88,270.0,0.1,Hoggard_2020,positive
-109.1,39.15,130.0,0.6,Hoggard_2020,positive
-113.42,37.28,220.0,0.0,Hoggard_2020,positive
-72.0,8.0,200.0,0.2,Hoggard_2020,positive
