lon,lat,age (Ma),Cu (Mt),source,label
150.57,-23.75,390.5,,Huston_2024,positive
121.77,-28.97,2698.0,0.0084,Huston_2024,positive
132.05,-13.3,1862.0,0.0135,Huston_2024,positive
144.71,-18.77,480.0,0.1567,Huston_2024,positive
121.17,-28.48,2694.2,0.0659,Huston_2024,positive
149.43,-35.59,424.0,0.028,Huston_2024,positive
133.78,-23.06,1809.0,,Huston_2024,positive
149.05,-32.58,420.0,0.0001,Huston_2024,positive
149.54,-33.57,425.0,0.0816,Huston_2024,positive
149.5,-34.98,423.0,0.0159,Huston_2024,positive
147.91,-36.99,420.0,0.2328,Huston_2024,positive
144.69,-18.79,480.0,0.0178,Huston_2024,positive
127.29,-18.43,1843.0,0.0329,Huston_2024,positive
122.27,-27.71,2805.0,,Huston_2024,positive
149.56,-34.92,418.0,,Huston_2024,positive
116.96,-28.78,2953.0,0.7338,Huston_2024,positive
117.01,-28.83,2953.0,0.0961,Huston_2024,positive
152.04,-30.75,286.0,0.0036,Huston_2024,positive
146.21,-20.35,479.0,0.006,Huston_2024,positive
145.73,-41.58,500.4,0.0708,Huston_2024,positive
145.56,-41.86,496.0,,Huston_2024,positive
145.52,-41.84,502.6,0.0133,Huston_2024,positive
146.2,-20.36,479.0,0.221,Huston_2024,positive
134.16,-21.51,1825.0,0.0527,Huston_2024,positive
121.16,-28.44,2694.2,0.048,Huston_2024,positive
146.07,-20.41,479.0,0.0354,Huston_2024,positive
146.74,-20.32,479.0,0.003,Huston_2024,positive
117.81,-20.88,2920.0,0.0452,Huston_2024,positive
145.68,-41.62,500.4,,Huston_2024,positive
145.59,-42.06,500.4,3.0812,Huston_2024,positive
145.59,-42.05,496.0,0.0007,Huston_2024,positive
150.38,-23.64,390.5,0.3744,Huston_2024,positive
121.65,-30.79,2702.0,,Huston_2024,positive
127.54,-18.32,1843.0,0.0326,Huston_2024,positive
145.7,-41.6,500.4,0.0231,Huston_2024,positive
145.52,-41.78,502.6,0.2306,Huston_2024,positive
117.71,-20.76,2945.0,0.0356,Huston_2024,positive
127.46,-18.37,1843.0,0.0566,Huston_2024,positive
116.94,-28.75,2953.0,0.2184,Huston_2024,positive
145.52,-41.85,502.6,0.0006,Huston_2024,positive
121.15,-28.41,2694.2,0.0838,Huston_2024,positive
145.77,-20.34,479.0,0.1828,Huston_2024,positive
122.23,-27.64,2805.0,,Huston_2024,positive
146.11,-20.38,479.0,0.0128,Huston_2024,positive
117.83,-20.85,2948.0,0.0696,Huston_2024,positive
147.89,-37.0,420.0,0.1096,Huston_2024,positive
149.57,-35.06,423.3,0.4242,Huston_2024,positive
118.51,-27.14,2817.0,0.0151,Huston_2024,positive
116.94,-21.07,3114.0,0.0119,Huston_2024,positive
119.27,-21.23,3238.0,0.0018,Huston_2024,positive
119.75,-21.22,3465.0,0.0004,Huston_2024,positive
118.78,-20.77,3253.0,,Huston_2024,positive
119.43,-21.15,3481.0,,Huston_2024,positive
120.23,-21.36,3465.0,0.0031,Huston_2024,positive
