lon,lat,age (Ma),Cu (Mt),source,label
140.14,-20.22,1523.0,1.4892,Huston_2024,positive
140.49,-21.55,1520.0,1.7791,Huston_2024,positive
140.7,-20.44,1523.0,1.826,Huston_2024,positive
140.36,-20.68,1523.0,0.3546,Huston_2024,positive
140.79,-20.44,1523.0,0.3463,Huston_2024,positive
140.5,-21.54,1513.0,0.503,Huston_2024,positive
139.97,-21.05,1475.0,0.122,Huston_2024,positive
144.04,-18.53,1524.0,0.1531,Huston_2024,positive
141.51,-32.13,1603.0,0.0883,Huston_2024,positive
140.98,-20.95,1522.0,0.32,Huston_2024,positive
140.69,-20.63,1523.0,0.0528,Huston_2024,positive
140.51,-20.72,1523.0,0.0323,Huston_2024,positive
144.1,-18.51,1396.0,0.0319,Huston_2024,positive
137.74,-33.88,1575.0,,Huston_2024,positive
137.5,-31.22,1598.0,2.01,Huston_2024,positive
137.87,-34.54,1584.0,2.022,Huston_2024,positive
137.41,-31.18,1598.0,1.212,Huston_2024,positive
135.43,-29.63,1582.0,,Huston_2024,positive
136.45,-32.76,1581.0,,Huston_2024,positive
136.87,-30.44,1594.0,83.9,Huston_2024,positive
135.58,-29.72,1578.0,2.7673,Huston_2024,positive
137.65,-30.78,1575.0,,Huston_2024,positive
137.73,-34.02,1586.0,,Huston_2024,positive
134.22,-19.67,1850.0,,Huston_2024,positive
134.1,-19.65,1848.0,,Huston_2024,positive
134.23,-19.7,1848.0,,Huston_2024,positive
133.39,-19.96,1828.0,0.0092,Huston_2024,positive
134.07,-19.44,1848.0,0.1597,Huston_2024,positive
134.08,-19.43,1848.0,0.0526,Huston_2024,positive
134.32,-19.68,1848.0,,Huston_2024,positive
134.06,-19.55,1848.0,0.00895,Huston_2024,positive
134.22,-23.14,1795.0,0.0088,Huston_2024,positive
134.24,-19.7,1848.0,0.00143,Huston_2024,positive
134.34,-19.6,1848.0,,Huston_2024,positive
134.03,-19.44,1848.0,0.0518,Huston_2024,positive
140.57,-22.09,1595.0,0.6815,Huston_2024,positive
134.28,-19.68,1848.0,0.1189,Huston_2024,positive
133.66,-20.0,1828.0,0.0828,Huston_2024,positive
140.48,-21.68,1586.0,0.3689,Huston_2024,positive
134.15,-19.63,1848.0,,Huston_2024,positive
133.82,-19.44,1848.0,0.0915,Huston_2024,positive
134.27,-19.67,1848.0,,Huston_2024,positive
133.93,-19.48,1847.0,,Huston_2024,positive
